Maximum,192.2,@,No.1176,,,,,
Minimum,-0.2,@,No.2388,,,,,
Average,54.46,,,,,,,
Data Quantity,2405,,,,,,,
Number of NG,0,,,,,,,
No.,Force,Unit,Displacement,Unit,Judge,Position,Time,Date
192,45.1,gf,0.635,mm,OK,--,8:56:36 AM,1/10/2026
193,45.4,gf,0.64,mm,OK,--,8:56:36 AM,1/10/2026
194,45.5,gf,0.645,mm,OK,--,8:56:36 AM,1/10/2026
195,45.6,gf,0.65,mm,OK,--,8:56:36 AM,1/10/2026
196,45.8,gf,0.655,mm,OK,--,8:56:36 AM,1/10/2026
197,45.5,gf,0.66,mm,OK,--,8:56:36 AM,1/10/2026
198,45.4,gf,0.665,mm,OK,--,8:56:36 AM,1/10/2026
199,45.5,gf,0.665,mm,OK,--,8:56:36 AM,1/10/2026
200,45.6,gf,0.67,mm,OK,--,8:56:36 AM,1/10/2026
201,45.6,gf,0.675,mm,OK,--,8:56:36 AM,1/10/2026
202,45.5,gf,0.675,mm,OK,--,8:56:37 AM,1/10/2026
203,45.4,gf,0.68,mm,OK,--,8:56:37 AM,1/10/2026
204,45.5,gf,0.685,mm,OK,--,8:56:37 AM,1/10/2026
205,45.6,gf,0.685,mm,OK,--,8:56:37 AM,1/10/2026
206,45.7,gf,0.69,mm,OK,--,8:56:37 AM,1/10/2026
207,45.8,gf,0.69,mm,OK,--,8:56:37 AM,1/10/2026
208,45.9,gf,0.695,mm,OK,--,8:56:37 AM,1/10/2026
209,45.8,gf,0.695,mm,OK,--,8:56:37 AM,1/10/2026
210,46,gf,0.7,mm,OK,--,8:56:37 AM,1/10/2026
211,45.9,gf,0.705,mm,OK,--,8:56:37 AM,1/10/2026
212,45.8,gf,0.705,mm,OK,--,8:56:38 AM,1/10/2026
213,45.8,gf,0.71,mm,OK,--,8:56:38 AM,1/10/2026
214,45.6,gf,0.71,mm,OK,--,8:56:38 AM,1/10/2026
215,45.6,gf,0.715,mm,OK,--,8:56:38 AM,1/10/2026
216,45.6,gf,0.715,mm,OK,--,8:56:38 AM,1/10/2026
217,45.7,gf,0.715,mm,OK,--,8:56:38 AM,1/10/2026
218,45.8,gf,0.72,mm,OK,--,8:56:38 AM,1/10/2026
219,45.9,gf,0.72,mm,OK,--,8:56:38 AM,1/10/2026
220,45.9,gf,0.725,mm,OK,--,8:56:38 AM,1/10/2026
221,46.1,gf,0.725,mm,OK,--,8:56:38 AM,1/10/2026
222,46.1,gf,0.73,mm,OK,--,8:56:39 AM,1/10/2026
223,46.2,gf,0.73,mm,OK,--,8:56:39 AM,1/10/2026
224,45.8,gf,0.73,mm,OK,--,8:56:39 AM,1/10/2026
225,45.8,gf,0.735,mm,OK,--,8:56:39 AM,1/10/2026
226,45.9,gf,0.735,mm,OK,--,8:56:39 AM,1/10/2026
227,45.9,gf,0.74,mm,OK,--,8:56:39 AM,1/10/2026
228,46.1,gf,0.745,mm,OK,--,8:56:39 AM,1/10/2026
229,46.3,gf,0.745,mm,OK,--,8:56:39 AM,1/10/2026
230,46.2,gf,0.75,mm,OK,--,8:56:39 AM,1/10/2026
231,45.8,gf,0.755,mm,OK,--,8:56:39 AM,1/10/2026
232,46.1,gf,0.76,mm,OK,--,8:56:40 AM,1/10/2026
233,46.3,gf,0.76,mm,OK,--,8:56:40 AM,1/10/2026
234,46.2,gf,0.765,mm,OK,--,8:56:40 AM,1/10/2026
235,46.2,gf,0.77,mm,OK,--,8:56:40 AM,1/10/2026
236,46,gf,0.775,mm,OK,--,8:56:40 AM,1/10/2026
237,46.2,gf,0.775,mm,OK,--,8:56:40 AM,1/10/2026
238,46.1,gf,0.78,mm,OK,--,8:56:40 AM,1/10/2026
239,45.9,gf,0.785,mm,OK,--,8:56:40 AM,1/10/2026
240,45.8,gf,0.785,mm,OK,--,8:56:40 AM,1/10/2026
241,45.6,gf,0.79,mm,OK,--,8:56:40 AM,1/10/2026
